frame_path,angle,label
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0000.jpg,155.4088835755343,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0005.jpg,155.5029274577579,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0010.jpg,155.45438329721478,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0015.jpg,156.84195682637778,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0020.jpg,159.13537498128167,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0025.jpg,152.80774869012868,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0030.jpg,143.97377221937072,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0035.jpg,147.99566760329566,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0040.jpg,142.89683042920655,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0045.jpg,132.82158601349948,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0050.jpg,132.6108122239524,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0055.jpg,120.93409056610787,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0060.jpg,136.7515470105655,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0065.jpg,145.8762824378189,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0070.jpg,129.00769378984,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0075.jpg,150.8234832748362,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0080.jpg,121.05660618183086,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0085.jpg,116.45318621964418,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0090.jpg,104.26407769072358,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0095.jpg,94.94112269515239,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0100.jpg,114.34682270593004,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0105.jpg,132.98775396441056,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0110.jpg,110.74054740030488,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0115.jpg,112.14554625694817,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0120.jpg,100.63497328170098,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0125.jpg,90.8266827425187,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0130.jpg,101.90320034080128,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0135.jpg,137.1864620883295,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0140.jpg,177.9612030685529,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0145.jpg,91.90360761290606,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0150.jpg,141.2126024754988,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0155.jpg,106.60954509867531,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0160.jpg,67.86902105362412,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0165.jpg,118.12126031869516,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0170.jpg,131.82063138694272,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0175.jpg,80.12355164984228,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0180.jpg,145.9957942679265,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0185.jpg,121.09925383623548,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0190.jpg,105.27650464668338,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0195.jpg,72.02025042979092,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0200.jpg,105.26333138134643,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0205.jpg,138.856774828246,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0210.jpg,108.48234986788796,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0215.jpg,103.55585010924852,illegal
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0220.jpg,101.51209396934343,illegal
