image_path,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_001.jpg,0.5321782827377319,0.4206623136997223,0.19454450905323029,0.6317648887634277,0.44447338581085205,0.2196466326713562,0.7001175880432129,0.3853779435157776,0.026310130953788757,0.396722674369812,0.4219140410423279,-0.14280283451080322,0.36029112339019775,0.5146710872650146,-0.19846144318580627,0.45403769612312317,0.5532658100128174,-0.2949025332927704
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_002.jpg,0.5324557423591614,0.42067751288414,0.22312505543231964,0.6338728070259094,0.4442543387413025,0.2778688967227936,0.6998915672302246,0.38540855050086975,0.11216951906681061,0.3968138098716736,0.4218144714832306,-0.11323325335979462,0.3590717315673828,0.5139966011047363,-0.14212915301322937,0.45065122842788696,0.5539896488189697,-0.24027912318706512
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_003.jpg,0.533008873462677,0.42067521810531616,0.24187873303890228,0.6338233947753906,0.44426193833351135,0.296045184135437,0.6989462971687317,0.38626423478126526,0.13461017608642578,0.3967353105545044,0.42177876830101013,-0.06604476273059845,0.35880306363105774,0.5135900974273682,-0.08812389522790909,0.44926387071609497,0.5542799234390259,-0.20347362756729126
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_004.jpg,0.5333874821662903,0.4207528233528137,0.2309449017047882,0.6341484785079956,0.4440726339817047,0.2774098813533783,0.6988698244094849,0.38576826453208923,0.1050661951303482,0.3967885673046112,0.4217697083950043,-0.09408668428659439,0.3584098219871521,0.5134029984474182,-0.0955730527639389,0.44902923703193665,0.5544484257698059,-0.23543213307857513
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_005.jpg,0.5339108109474182,0.4206799268722534,0.22609083354473114,0.6348406672477722,0.4439470171928406,0.2678723633289337,0.6988099813461304,0.38562923669815063,0.09508152306079865,0.39691871404647827,0.42183035612106323,-0.14477422833442688,0.35841378569602966,0.5134326815605164,-0.1705414354801178,0.44933629035949707,0.5551604628562927,-0.2444605678319931
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_006.jpg,0.534069299697876,0.42072349786758423,0.23491400480270386,0.6373568177223206,0.44373956322669983,0.2426924705505371,0.6992217898368835,0.3824796974658966,0.01723729446530342,0.3981259763240814,0.42193877696990967,-0.1543339639902115,0.35841381549835205,0.5137594938278198,-0.17482279241085052,0.44936904311180115,0.5550941824913025,-0.20399737358093262
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_007.jpg,0.5352581739425659,0.4208158552646637,0.24131235480308533,0.6382425427436829,0.44284629821777344,0.22291244566440582,0.6989261507987976,0.380869597196579,-0.0056503829546272755,0.39920735359191895,0.4219520688056946,-0.1828170269727707,0.35765382647514343,0.5138234496116638,-0.19125297665596008,0.4485498368740082,0.554362952709198,-0.14996570348739624
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_008.jpg,0.5357470512390137,0.42081743478775024,0.23957566916942596,0.6388107538223267,0.4424900710582733,0.22563187777996063,0.6988359093666077,0.37954285740852356,0.006040822248905897,0.3996098041534424,0.4219345152378082,-0.19089572131633759,0.35726824402809143,0.5136672258377075,-0.19779366254806519,0.4469955563545227,0.554334282875061,-0.14747752249240875
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_009.jpg,0.5359212160110474,0.42106083035469055,0.2371266931295395,0.6387456655502319,0.441388338804245,0.22676099836826324,0.6986826062202454,0.37853047251701355,0.04638513922691345,0.3999677002429962,0.42192700505256653,-0.20935195684432983,0.3572026789188385,0.5137149691581726,-0.2124304622411728,0.44618886709213257,0.5542237758636475,-0.14580503106117249
E:\FYP2\Match-Mate-1\ActionTrack\dataset\images\left_illegal_010.jpg,0.5360510349273682,0.4215221703052521,0.23585471510887146,0.6387851238250732,0.4407460391521454,0.2186545580625534,0.6986813545227051,0.3779633343219757,0.02015027217566967,0.4000522792339325,0.42191827297210693,-0.21363148093223572,0.3565712571144104,0.5140708684921265,-0.21672917902469635,0.44570356607437134,0.5541257858276367,-0.14034503698349
