frame_path,shoulder_x,shoulder_y,elbow_x,elbow_y,wrist_x,wrist_y
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0000.jpg,0.5865138173103333,0.3861894905567169,0.5879610180854797,0.4396863877773285,0.5701767206192017,0.4814992845058441
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0005.jpg,0.5862486362457275,0.38624846935272217,0.5872912406921387,0.4401181638240814,0.5693851709365845,0.4815198481082916
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0010.jpg,0.5850500464439392,0.3862445056438446,0.5860926508903503,0.4404658377170563,0.5681101679801941,0.48193344473838806
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0015.jpg,0.5801218748092651,0.3865355849266052,0.5821892619132996,0.44099849462509155,0.5664719939231873,0.4819772243499756
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0020.jpg,0.5727924108505249,0.38646072149276733,0.5765325427055359,0.44025832414627075,0.5642786026000977,0.48062196373939514
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0025.jpg,0.5683976411819458,0.38696879148483276,0.5754998326301575,0.4396283030509949,0.5614094138145447,0.4793938994407654
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0030.jpg,0.5633419752120972,0.38700154423713684,0.5760910511016846,0.4379206597805023,0.5611496567726135,0.4749585688114166
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0035.jpg,0.5578292012214661,0.3873923718929291,0.571314811706543,0.43799811601638794,0.5597124695777893,0.47575268149375916
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0040.jpg,0.5480057597160339,0.3917747437953949,0.5669035911560059,0.4384094178676605,0.5567458271980286,0.4762030243873596
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0045.jpg,0.540628969669342,0.3981459140777588,0.5652307271957397,0.4402938485145569,0.5542224049568176,0.47651219367980957
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0050.jpg,0.5328083634376526,0.40421682596206665,0.5597099661827087,0.44441255927085876,0.5518897771835327,0.4767467975616455
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0055.jpg,0.5297713279724121,0.4105305075645447,0.5612521767616272,0.4495626389980316,0.5512927770614624,0.47666293382644653
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0060.jpg,0.5280195474624634,0.4152183532714844,0.5535715222358704,0.450023889541626,0.5508708357810974,0.4721316695213318
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0065.jpg,0.534060001373291,0.41308704018592834,0.5575739145278931,0.4487241208553314,0.5573295950889587,0.4685438573360443
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0070.jpg,0.5422755479812622,0.41265758872032166,0.5842350125312805,0.44822245836257935,0.5837494134902954,0.4700075089931488
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0075.jpg,0.5643473267555237,0.41429781913757324,0.614412248134613,0.4519500136375427,0.628843367099762,0.48454970121383667
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0080.jpg,0.5662424564361572,0.41488370299339294,0.6086055636405945,0.45223355293273926,0.6032190918922424,0.4817424416542053
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0085.jpg,0.563216507434845,0.4154174327850342,0.6064316630363464,0.45275092124938965,0.5987731218338013,0.48264288902282715
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0090.jpg,0.5479554533958435,0.42857885360717773,0.5802702307701111,0.46838903427124023,0.5559108257293701,0.5011066794395447
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0095.jpg,0.534584105014801,0.4343137741088867,0.5542585253715515,0.47364750504493713,0.5226119756698608,0.4930519163608551
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0100.jpg,0.5163248777389526,0.4296572804450989,0.5427581071853638,0.4665009081363678,0.5265681743621826,0.49454736709594727
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0105.jpg,0.5090230703353882,0.4278228282928467,0.5536593794822693,0.45587342977523804,0.5595539808273315,0.48665302991867065
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0110.jpg,0.5066330432891846,0.42126742005348206,0.5536643266677856,0.4496389329433441,0.5484889149665833,0.4779492914676666
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0115.jpg,0.4933580458164215,0.4154717028141022,0.544050395488739,0.44278159737586975,0.540147602558136,0.478898286819458
E:\FYP2\Match-Mate-1\ActionTrack\dataset\frames\video_001\frame_0120.jpg,0.4887540340423584,0.41570910811424255,0.5312854647636414,0.4454170763492584,0.5113617181777954,0.4895451068878174
